date,ticker,latest_price,current_shares,current_weight,strategy_weight,planned_target_weight,target_weight,planned_target_shares,target_shares,delta_shares,weight_diff,action_hint,signal_status
2026-05-21,0050.TW,95.8499984741211,89,1.0,0.5010090040608417,0.8220629073988183,1.0,73,89,0,0.0,hold,hold
2026-05-21,00631L.TW,31.579999923706055,0,0.0,0.25427698225974993,0.17793709260118168,0.0,48,0,0,0.0,hold,hold
2026-05-21,00632R.TW,11.289999961853027,0,0.0,0.0,0.0,0.0,0,0,0,0.0,hold,hold
