中華民國95年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,日,依規定放假一日，適逢星期日不補假。
國曆新年開始交易日,1月2日,一,國曆新年開紅盤。
農曆春節前最後交易日,1月25日,三,1月26日、27日市場辦理交割。
農曆除夕,1月28日,六,依規定放假1日，適逢星期六，依規定於2月1日補假1日。
農曆春節,1月29日1月30日1月31日2月1日2月2日,日一二三四,1.依規定於1月29日至31日放假3日。2.1月28日為農曆除夕，適逢星期六，依規定於2月1日補假1日。3.1月29日為春節假期，適逢星期日，依規定於2月2日補假1日。
農曆春節後開始交易日,2月3日,五,農曆春節後開紅盤。
和平紀念日,2月28日,二,依規定放假一日。
民族掃墓節,4月5日,三,依規定放假一日。
勞動節,5月1日,一,依規定放假一日。
端午節,5月31日,三,依規定放假一日。
中秋節,10月6日10月7日10月8日10月9日,五六日一,1.10月6日依規定放假一日。2.配合政府行政機關及金融機構調整放假，95年10月2日公布：10月9日彈性調整放假一日，10月6日至10日形成連續假期計5日，並於10月14日（星期六）補行上班一日。
國慶日,10月10日,二,依規定放假一日。
