中華民國92年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,三,放假一日。
國曆新年開始交易日,1月2日,四,新年開紅盤。
農曆春節前最後交易日,1月28日,二,一月二十九、三十日市場辦理交割。
農曆除夕,一月三十一日,五,放假一日。
農曆春節,2月1日2月2日2月3日2月4日2月5日,六日一二三,1.依規定於二月一日至三日放假三日。2.二月一日、二月二日為春節假期，適逢星期六、星期日，順延於星期日次二日補假；二月四日、二月五日均補假一日。
農曆春節後開始交易日,2月6日,四,農曆春節後開紅盤。
和平紀念日,2月28日,五,放假一日。
民族掃墓節,4月5日,日,放假一日，適逢星期六，不補假。
勞動節,5月1日,四,放假一日。
端午節,6月4日,三,放假一日。
中秋節,9月11日,四,放假一日。
國慶日,10月10日,五,依規定放假一日，適逢星期日不補假。
說明：1.本公司集中交易市場週六、日休市。2.兒童節（四月四日）、先總統蔣公誕辰紀念日(十月三十一日)、國父誕辰紀念日（十一月十二日）及行憲紀念日（十二月二十五日）上述紀念日、節日，本公司集中交易市場照常交易。3.婦女節(三月八日)、革命先烈紀念日(三月二十九日)、教師節(九月二十八日)、臺灣光復節(十月二十五日)，適逢例假日均不補假。,
