中華民國99年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,五,依規定放假1日。
國曆新年開始交易日,1月4日,一,國曆新年開始交易。
農曆春節前最後交易日,2月10日,三,2月11日及2月12日市場無交易，僅辦理結算交割作業。
農曆除夕,2月13日,六,依規定放假1日，適逢星期六，於2月17日(星期三)補假1日。
農曆春節,2月14日2月15日2月16日2月17日2月18日2月19日,日一二三四五,1.依規定於2月14日至2月16日放假3日。2.2月14日適逢星期日，於2月18日(星期四)補假1日。3.2月19日調整放假，於2月6日(星期六)補行交易。
農曆春節後開始交易日,2月22日,一,農曆春節後開始交易。
和平紀念日,2月28日,日,依規定放假1日，適逢星期日不補假。
民族掃墓節,4月5日,一,依規定放假1日。
勞動節,5月1日,六,依規定放假1日，適逢星期六不補假。
端午節,6月16日,三,依規定放假1日。
中秋節,9月22日,三,依規定放假1日。
國慶日,10月10日,日,依規定放假1日，適逢星期日不補假。
