中華民國94年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,六,依規定放假一日，適逢星期六不補假。
國曆新年開始交易日,1月3日,一,國曆新年開紅盤。
農曆春節前最後交易日,2月3日,四,二月四、五日市場辦理交割。
農曆除夕前一日,2月7日,一,(1)彈性調整放假一日。(2)依規定彈性調整放假一日，並於二月五日（星期六）補行上班一日。
農曆除夕,2月8日,二,依規定放假一日。
農曆春節,2月9日2月10日2月11日,三四五,依規定於二月九日至十一日放假三日。
農曆春節後開始交易日,2月14日,一,農曆春節後開紅盤。
和平紀念日,2月28日,一,依規定放假一日。
民族掃墓節,4月5日,二,依規定放假一日。
勞動節,5月1日5月2日,日一,(1)五月一日依規定放假一日。(2)依行政院勞工委員會八十二年十二月二十一日台八十二勞動二字第七九三二三號函規定：「勞動節適逢例假，翌日應補假一日」，爰五月二日補假一天。
端午節,6月11日,六,依規定放假一日，適逢星期六不補假。
中秋節,9月18日,日,依規定放假一日，適逢星期日不補假。
國慶日,10月10日,一,依規定放假一日。
