中華民國105年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,五,依規定放假1日。
國曆新年開始交易日,1月4日,一,國曆新年開始交易。
農曆春節前最後交易日,2月3日,三,2月4日及2月5日市場無交易，僅辦理結算交割作業。
農曆除夕,2月7日,日,依規定放假1日，2月11日（星期四）補假1日。
農曆春節,2月8日2月9日2月10日2月11日2月12日,一二三四五,依規定於2月8日至2月10日放假3日。2月12日調整放假，於1月30日（星期六）補行上班。
農曆春節後開始交易日,2月15日,一,農曆春節後開始交易。
和平紀念日,2月28日2月29日,日一,依規定放假1日，2月29日（星期一）補假1日。
兒童節民族掃墓節,4月4日4月5日,一二,依規定放假1日，因兒童節及民族掃墓節為同一天且適逢星期一，4月5日（星期二）放假1日。
勞動節,5月1日5月2日,日一,依規定放假1日，5月2日（星期一）補假1日。
端午節,6月9日6月10日,四五,依規定放假1日。6月10日調整放假，於6月4日（星期六）補行上班。
中秋節,9月15日9月16日,四五,依規定放假1日。9月16日調整放假，於9月10日（星期六）補行上班。
國慶日,10月10日,一,依規定放假1日。
