中華民國91年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,二,放假一日。
國曆新年開始交易日,1月2日,三,新年開紅盤。
農曆春節前最後交易日,2月6日,三,二月七、八日市場辦理交割。
農曆除夕,2月11日,一,放假一日。
農曆春節,2月12日2月13日2月14日2月15日,二三四五,放假四日。
農曆春節後開始交易日,2月18日,一,農曆春節後開紅盤。
和平紀念日,2月28日,四,放假一日。
民族掃墓節,4月5日,五,放假一日。
勞動節,5月1日,三,放假一日。
端午節,6月15日,六,放假一日，適逢星期六，不補假。
中秋節,9月21日,六,放假一日，適逢星期六，不補假。
國慶日,10月10日,四,放假一日。
說明：1.本公司集中交易市場週六、日休市。2.婦女節（三月八日）、革命先烈紀念日(三月二十九日)、兒童節（四月四日）、台灣光復節(十月二十五日)、先總統蔣公誕辰紀念日(十月三十一日)、國父誕辰紀念日（十一月十二日）及行憲紀念日（十二月二十五日）上述紀念日、節日，本公司集中交易市場照常交易。3.教師節(九月二十八日)適逢星期六放假一日，不補假。,
