中華民國109年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,三,依規定放假1日。
國曆新年開始交易日,1月2日,四,國曆新年開始交易。
農曆春節前最後交易日,1月20日,一,1月21日及1月22日市場無交易，僅辦理結算交割作業。
農曆除夕前一日,1月23日,四,1月23日（星期四）調整放假，於2月15日（星期六）補行上班，但不交易亦不交割。
農曆除夕,1月24日,五,依規定放假1日。
農曆春節,1月25日1月26日1月27日1月28日1月29日,六日一二三,依規定於1月25日至1月27日放假3日。1月25日及1月26日適逢星期六及日，1月28日（星期二）及1月29日（星期三）補假1日。
農曆春節後開始交易日,1月30日,四,農曆春節後開始交易。
和平紀念日,2月28日,五,依規定放假1日。
兒童節民族掃墓節,4月2日4月3日4月4日,四五六,依規定放假1日。因兒童節與民族掃墓節為同一日且適逢星期六，於前一日4月3日（星期五）放假1日，且4月2日（星期四）補假1日。
勞動節,5月1日,五,依規定放假1日。
端午節,6月25日6月26日,四五,依規定放假1日。6月26日（星期五）調整放假，於6月20日（星期六）補行上班，但不交易亦不交割。
中秋節,10月1日10月2日,四五,依規定放假1日。10月2日（星期五）調整放假，於9月26日（星期六）補行上班，但不交易亦不交割。
國慶日,10月9日10月10日,五六,10月10日適逢星期六，10月9日（星期五）補假1日。依規定放假1日。
