中華民國106年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日1月2日,日一,依規定放假1日，1月2日（星期一）補假1日。
國曆新年開始交易日,1月3日,二,國曆新年開始交易。
農曆春節前最後交易日,1月24日,二,1月25日及1月26日市場無交易，僅辦理結算交割作業。
農曆除夕,1月27日,五,依規定放假1日。
農曆春節,1月28日1月29日1月30日1月31日2月1日,六日一二三,依規定於1月28日至1月30日放假3日。1月28日及1月29日適逢星期六、日，1月31日（星期二）及2月1日（星期三）補假1日。
農曆春節後開始交易日,2月2日,四,農曆春節後開始交易。
和平紀念日,2月27日2月28日,一二,依規定放假1日。2月27日調整放假，於2月18日（星期六）補行上班。
兒童節民族掃墓節,4月3日4月4日,一二,依規定放假1日。因兒童節及民族掃墓節為同一日，4月3日（星期一）放假1日。
勞動節,5月1日,一,依規定放假1日。
端午節,5月29日5月30日,一二,依規定放假1日。5月29日調整放假，於6月3日（星期六）補行上班。
中秋節,10月4日,三,依規定放假1日。
國慶日,10月9日10月10日,一二,依規定放假1日。10月9日調整放假，於9月30日（星期六）補行上班。
