中華民國93年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,四,放假一日。
國曆新年開始交易日,1月2日,五,新年開紅盤。
農曆春節前最後交易日,1月16日,五,一月十九、二十日市場辦理交割。
農曆除夕,1月21日,三,放假一日。
農曆春節,1月22日1月23日1月24日1月25日1月26日,四五六日一,1.依規定於一月二十二日至二十四日放假三日。2.一月二十四日為春節假期，適逢星期六，依規定於一月二十六日補假一日。
農曆春節後開始交易日,1月27日,二,農曆春節後開紅盤。
和平紀念日,2月28日,六,依規定放假一日，適逢星期六不補假。
民族掃墓節,4月4日,日,依規定放假一日，適逢星期日不補假。
勞動節,5月1日,六,依規定放假一日，適逢星期六不補假。
端午節,6月22日,二,放假一日。
中秋節,9月28日,二,放假一日。
國慶日,10月10日,日,依規定放假一日，適逢星期日不補假。
說明：一、本公司集中交易市場週六、日休市。二、婦女節（三月八日）、革命先烈紀念日(三月二十九日)、臺灣光復節(十月二十五日)、及國父誕辰紀念日（十一月十二日）等上述紀念日、節日，本公司集中交易市場照常交易。三、兒童節（四月四日）、教師節(九月二十八日)、先總統蔣公誕辰紀念日(十月三十一日)及行憲紀念日（十二月二十五日）等上述紀念日、節日，適逢假日均不補假。,
