中華民國96年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,一,依規定放假一日。
國曆新年開始交易日,1月2日,二,國曆新年開紅盤。
農曆春節前最後交易日,2月14日,三,2月15日、16日市場辦理交割。
農曆除夕,2月17日,六,依規定放假1日，2月21日補假1日。
農曆春節,2月18日2月19日2月20日2月21日2月22日2月23日,日一二三四五,1.依規定於2月18日至2月20日放假3日。2.2月17日適逢星期六，2月21日補假1日。3.2月18日適逢星期日，2月22日補假1日。4.2月23日調整放假，並於3月3日(星期六)補行上班。
農曆春節後開始交易日,2月26日,一,農曆春節後開紅盤。
和平紀念日,2月28日,三,依規定放假一日。
民族掃墓節,4月5日4月6日,四五,1.依規定於4月5日放假1日。2.4月6日調整放假，並於4月14日(星期六)補行上班。
勞動節,5月1日,二,依規定放假一日。
端午節,6月18日6月19日,一二,1.依規定於6月19日放假1日。2.6月18日調整放假，並於6月23日(星期六)補行上班。
中秋節,9月24日9月25日,一二,1.依規定於9月25日放假1日。2.9月24日調整放假，並於9月29日(星期六)補行上班。
國慶日,10月10日,三,依規定放假一日。
