中華民國97年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,二,依規定放假一日。
國曆新年開始交易日,1月2日,三,國曆新年開紅盤。
農曆春節前最後交易日,2月1日,五,2月4日、5日市場辦理交割。
農曆除夕,2月6日,三,依規定放假1日。
農曆春節,2月7日2月8日2月9日2月11日,四五六一,1.依規定於2月7日至2月9日放假3日。2.2月9日適逢星期六，2月11日補假1日。
農曆春節後開始交易日,2月12日,二,農曆春節後開紅盤。
和平紀念日,2月28日,四,依規定放假一日。
民族掃墓節,4月4日,五,依規定放假一日。
勞動節,5月1日,四,依規定放假一日。
端午節,6月8日5月29日,日,依規定放假1日，適逢星期日不補假。
中秋節,9月14日,日,依規定放假1日，適逢星期日不補假。
國慶日,10月10日,五,依規定放假一日。
