中華民國104年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日1月2日,四五,依規定放假1日，1月2日調整放假，於103年12月27日(星期六)補行上班。
國曆新年開始交易日,1月5日,一,國曆新年開始交易。
農曆春節前最後交易日,2月13日,五,2月16日及2月17日市場無交易，僅辦理結算交割作業。
農曆除夕,2月18日,三,依規定放假1日。
農曆春節,2月19日2月20日2月21日2月22日2月23日,四五六日一,依規定於2月19日至2月21日放假3日。2月21日適逢星期六，2月23日（星期一）補假1日。
農曆春節後開始交易日,2月24日,二,農曆春節後開始交易。
和平紀念日,2月27日2月28日,五六,依規定放假1日，2月27日（星期五）補假1日。
兒童節,4月3日4月4日,五六,依規定放假1日，4月3日（星期五）補假1日。
民族掃墓節,4月5日4月6日,日一,依規定放假1日，4月6日（星期一）補假1日。
勞動節,5月1日,五,依規定放假1日。
端午節,6月19日6月20日,五六,依規定放假1日，6月19日（星期五）補假1日。
中秋節,9月27日9月28日,日一,依規定放假1日，9月28日（星期一）補假1日。
國慶日,10月9日10月10日,五六,依規定放假1日，10月9日（星期五）補假1日。
配合銀行業調整104年1月2日為休假日，103年12月27日為上班日，本公司市場104年開（休）市日期亦配合調整，並於103年11月12日公布在案。,
