中華民國103年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,三,依規定放假1日。
國曆新年開始交易日,1月2日,四,國曆新年開始交易。
農曆春節前最後交易日,1月27日,一,1月28日及1月29日市場無交易，僅辦理結算交割作業。
農曆除夕,1月30日,四,依規定放假1日。
農曆春節,1月31日2月1日2月2日2月3日2月4日,五六日一二,依規定於1月31日至2月2日放假3日。2月1日適逢星期六，2月2日適逢星期日，2月3日（星期一）及2月4日（星期二）補假2日。
農曆春節後開始交易日,2月5日,三,農曆春節後開始交易。
和平紀念日,2月28日,五,依規定放假1日。
兒童節,4月4日,五,依規定放假1日。
民族掃墓節,4月5日,六,依規定放假1日，適逢星期六，不補假。
勞動節,5月1日,四,依規定放假1日。
端午節,6月2日,一,依規定放假1日。
中秋節,9月8日,一,依規定放假1日。
國慶日,10月10日,五,依規定放假1日。
中華民國開國紀念日,104年1月1日1月2日,四五,104年1月2日調整放假，於103年12月27日(星期六)補行上班。
配合銀行業調整104年1月2日為休假日，103年12月27日為上班日，本公司市場103年開（休）市日期亦配合調整，並於103年11月12日公布在案。,
