中華民國108年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,二,依規定放假1日。
國曆新年開始交易日,1月2日,三,國曆新年開始交易。
農曆春節前最後交易日,1月30日,三,1月31日及2月1日市場無交易，僅辦理結算交割作業。
農曆除夕,2月4日,一,依規定放假1日。
農曆春節,2月5日2月6日2月7日2月8日,二三四五,依規定於2月5日至2月7日放假3日。2月7日適逢星期四，2月8日（星期五）調整放假，於1月19日（星期六）補行上班，但不交易亦不交割。
農曆春節後開始交易日,2月11日,一,農曆春節後開始交易。
和平紀念日,2月28日3月1日,四五,依規定放假1日。2月28日適逢星期四，3月1日（星期五）調整放假，於2月23日（星期六）補行上班，但不交易亦不交割。
兒童節,4月4日,四,依規定放假1日。
民族掃墓節,4月5日,五,依規定放假1日。
勞動節,5月1日,三,依規定放假1日。
端午節,6月7日,五,依規定放假1日。
中秋節,9月13日,五,依規定放假1日。
國慶日,10月10日10月11日,四五,依規定放假1日。10月10日適逢星期四，10月11日（星期五）調整放假，於10月5日（星期六）補行上班，但不交易亦不交割。
