中華民國98年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日1月2日,四五,1.1月1日依規定放假1日。2.1月2日調整放假，於1月10日（星期六）補行交易。
國曆新年開始交易日,1月5日,一,國曆新年開始交易。
農曆春節前最後交易日,1月21日,三,1月22日、23日市場無交易，僅辦理結算交割作業。
農曆除夕,1月25日,日,依規定放假一日，1月29日（星期四）補假一日。
農曆春節,1月26日1月27日1月28日1月29日1月30日,一二三四五,1.依規定於1月26日至1月28日放假三日。2.1月30日調整放假，於1月17日（星期六）補行交易。
農曆春節後開始交易日,2月2日,一,農曆春節後開始交易。
和平紀念日,2月28日,六,依規定放假一日，適逢星期六不補假。
民族掃墓節,4月4日,六,規定放假一日，適逢星期六不補假。
勞動節,5月1日,五,依規定放假一日。
端午節,5月28日5月29日,四五,1.5月28日依規定放假一日。2.5月29日調整放假，於6月6日（星期六）補行交易。
中秋節,10月3日,六,依規定放假一日，適逢星期六不補假。
國慶日,10月10日,六,依規定放假一日，適逢星期六不補假。
說明:配合銀行業調整98年1月2日為休假日及1月10日為上班日，本公司市場98年開(休)市日期亦配合調整，並於97年12月10日公布在案。,
