,0050.TW,0056.TW,00646.TW,00679B.TWO,00713.TW,00751B.TWO,00878.TW,2884.TW,total,daily_return,cumulative_return
2016-01-04 00:00:00+08:00,11205.842323303223,171196.57376289368,633.280029296875,0.0,0.0,0.0,0.0,160.46743392944336,183196.16354942322,,10.137697852007605
2016-01-05 00:00:00+08:00,11111.75643157959,170798.06033611298,631.6799926757812,0.0,0.0,0.0,0.0,162.1790885925293,182703.67584896088,-0.002688307936806078,10.137697852007605
2016-01-06 00:00:00+08:00,10998.85099029541,168167.96572685242,627.8400268554688,0.0,0.0,0.0,0.0,162.60700225830078,179957.2637462616,-0.015032057181869174,10.137697852007605
2016-01-07 00:00:00+08:00,10791.853729248047,169682.26974487305,621.760009765625,0.0,0.0,0.0,0.0,159.1836929321289,181255.06717681885,0.007211731294087365,10.137697852007605
2016-01-08 00:00:00+08:00,10810.673278808594,167610.1096010208,618.239990234375,0.0,0.0,0.0,0.0,157.47203826904297,179196.49490833282,-0.011357322587168484,10.137697852007605
2016-01-11 00:00:00+08:00,10641.316104888916,164342.36217308044,608.3200073242188,0.0,0.0,0.0,0.0,149.76959228515625,175741.76787757874,-0.019278987753199806,10.137697852007605
2016-01-12 00:00:00+08:00,10631.908306121826,164979.96798801422,607.6799926757812,0.0,0.0,0.0,0.0,147.63004302978516,176367.1863298416,0.0035587354094364088,10.137697852007605
2016-01-13 00:00:00+08:00,10754.220558166504,165219.07604408264,618.239990234375,0.0,0.0,0.0,0.0,144.63461875915527,176736.17121124268,0.002092140205213644,10.137697852007605
2016-01-14 00:00:00+08:00,10669.542465209961,164182.94113445282,601.9199829101562,0.0,0.0,0.0,0.0,142.0671558380127,175596.47073841095,-0.006448597731980477,10.137697852007605
2016-01-15 00:00:00+08:00,10669.542465209961,164182.94113445282,607.0399780273438,0.0,0.0,0.0,0.0,140.78340530395508,175600.30698299408,2.184693443441077e-05,10.137697852007605
2016-01-18 00:00:00+08:00,10744.811771392822,165537.87111759186,600.9600219726562,0.0,0.0,0.0,0.0,139.49968338012695,177023.14259433746,0.008102694327756454,10.137697852007605
2016-01-19 00:00:00+08:00,10773.04010772705,165298.7473936081,604.7999877929688,0.0,0.0,0.0,0.0,141.21136665344238,176817.79885578156,-0.0011599824494499256,10.137697852007605
2016-01-20 00:00:00+08:00,10519.002864837646,164103.22278118134,591.6799926757812,0.0,0.0,0.0,0.0,136.93222045898438,175350.83785915375,-0.008296455481974996,10.137697852007605
2016-01-21 00:00:00+08:00,10500.184303283691,162668.6057806015,594.5599975585938,0.0,0.0,0.0,0.0,136.07638359069824,173899.42646503448,-0.008277185394945596,10.137697852007605
2016-01-22 00:00:00+08:00,10641.316104888916,163385.92994880676,600.6400146484375,0.0,0.0,0.0,0.0,136.07638359069824,174763.9624519348,0.004971471180062581,10.137697852007605
2016-01-25 00:00:00+08:00,10829.489864349365,165537.87111759186,607.0399780273438,0.0,0.0,0.0,0.0,145.49046516418457,177119.89142513275,0.013480633765361683,10.137697852007605
2016-01-26 00:00:00+08:00,10725.994197845459,165458.18410015106,597.760009765625,0.0,0.0,0.0,0.0,142.49506950378418,176924.43337726593,-0.00110353527372975,10.137697852007605
2016-01-27 00:00:00+08:00,10773.04010772705,165856.65052318573,604.7999877929688,0.0,0.0,0.0,0.0,140.35551071166992,177374.84612941742,0.0025457916894442434,10.137697852007605
2016-01-28 00:00:00+08:00,10829.489864349365,167450.6572265625,602.5599975585938,0.0,0.0,0.0,0.0,140.35551071166992,179023.06259918213,0.00929227850358294,10.137697852007605
2016-01-29 00:00:00+08:00,11102.343692779541,170080.78317165375,606.719970703125,0.0,0.0,0.0,0.0,147.20210075378418,181937.0489358902,0.016277156107156188,10.137697852007605
2016-01-30 00:00:00+08:00,11102.343692779541,172152.95898342133,606.719970703125,0.0,0.0,0.0,0.0,147.20210075378418,184009.22474765778,0.01138952084738798,10.137697852007605
