date,prob_up_h1,prob_up_h5,prob_up_h20,ensemble_prob_up,direction,prob_magnitude,ensemble_weight_h1,ensemble_weight_h5,ensemble_weight_h20,horizon_ensemble_method,h20_prob_up,h20_direction,prob_fwd_mdd_gt5_h20,actual_fwd_mdd_gt5_h20,forward_mdd_h20,prob_fwd_gain_gt5_h20,actual_fwd_gain_gt5_h20,forward_gain_h20,tail_reward_risk_score_h20,confidence,is_live
2025-01-02,0.7547351698549095,0.755679276133582,0.11661165762928866,0.5423420345392601,UP,0.08468406907852022,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.11661165762928866,DOWN,0.1118218210552919,0.0,-0.042332594314683836,0.061444109380338556,0.0,0.009503292627574211,-0.05037771167495334,0.08468406907852022,False
2025-01-03,0.7538979712085818,0.8526798623900874,0.1509804499482408,0.5858527611823033,UP,0.17170552236460668,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.1509804499482408,DOWN,0.11853135152263913,0.0,-0.03440762367943517,0.0748386653253158,0.0,0.017857219996058937,-0.04369268619732333,0.17170552236460668,False
2025-01-06,0.4020543828617048,0.7984649195003541,0.5673332898902678,0.5892841974174422,UP,0.1785683948348844,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.5673332898902678,UP,0.1404617869473543,0.0,-0.008053704792104543,0.17093758818860597,0.0,0.045637603595271026,0.030475801241251654,0.1785683948348844,False
2025-01-07,0.24972775581742987,0.7613680151158655,0.5030474271126746,0.5047143993486567,UP,0.00942879869731339,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.5030474271126746,UP,0.15323264104656026,0.0,0.004510617100838665,0.11460107457319364,1.0,0.05412723314433343,-0.038631566473366616,0.00942879869731339,False
2025-01-08,0.19859912372966207,0.7306307241633916,0.32753792578835533,0.4189225912271364,DOWN,0.16215481754572725,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.32753792578835533,DOWN,0.1497169824387392,0.0,-0.007133296711333004,0.07405689687242238,0.0,0.04190818195578494,-0.07566008556631683,0.16215481754572725,False
2025-01-09,0.26743277140377886,0.8064563977838093,0.23262178718112464,0.4355036521229042,DOWN,0.1289926957541916,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.23262178718112464,DOWN,0.13427879185620742,0.0,-0.021958717169437758,0.08292020259594911,0.0,0.02635047735649687,-0.05135858926025831,0.1289926957541916,False
2025-01-10,0.582470919463014,0.8237236495360593,0.1759650546056104,0.5273865412015613,UP,0.05477308240312251,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.1759650546056104,DOWN,0.13647831266647434,0.0,-0.024101632095345327,0.07149320189112174,0.0,0.024101715677670388,-0.0649851107753526,0.05477308240312251,False
2025-01-13,0.295399748551743,0.687911779370445,0.18288559206191762,0.3887323733280352,DOWN,0.22253525334392965,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.18288559206191762,DOWN,0.1602525802326765,0.0,-0.0462526726364908,0.11703700467317366,0.0,0.000856550639696918,-0.04321557555950284,0.22253525334392965,False
2025-01-14,0.35920405413782974,0.6638268483829712,0.13628190871770968,0.3864376037461702,DOWN,0.2271247925076596,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.13628190871770968,DOWN,0.14151012822443326,0.0,-0.04008621873243201,0.07944018958377586,0.0,0.007327589254458644,-0.06206993864065741,0.2271247925076596,False
2025-01-15,0.26833912224654377,0.5470449432924831,0.22449319769489032,0.3466257544113057,DOWN,0.30674849117738856,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.22449319769489032,DOWN,0.1461173547283847,0.0,-0.04749681516862003,0.10812899283201846,0.0,-0.00556273271060348,-0.03798836189636623,0.30674849117738856,False
