date,dynamic_00631l_prob_up,dynamic_00631l_direction,dynamic_00631l_confidence,dynamic_00632r_prob_up,dynamic_00632r_direction,dynamic_00632r_confidence,market_direction,market_probability_up,agreement_score,conflict_flag,cross_ticker_confidence,raw_00631l_ensemble_prob_up,raw_00632r_ensemble_prob_up,is_live_00631l,is_live_00632r,fwd_0050.TW_ret_5d,fwd_0050.TW_ret_20d,fwd_00631L.TW_ret_5d,fwd_00631L.TW_ret_20d,fwd_00632R.TW_ret_5d,fwd_00632R.TW_ret_20d,market_up_5d,market_up_20d
2025-01-02,0.6411,UP,0.0461,0.4572,DOWN,0.0073,UP,0.5774,0.7854,False,0.0032,0.5817153377358841,0.5423420345392601,False,False,0.025766554606373226,0.011594949572867996,0.03006992894348781,0.02708401979294628,-0.016414650843554868,-0.02073432182055479,True,True
2025-01-03,0.575,UP,0.0014,0.5036,UP,0.0012,UP,0.5153,0.841,True,0.0001,0.4953201184091079,0.5858527611823033,False,False,0.015306122448979664,0.007653061224489832,0.009239848067424061,0.019529266318631056,-0.006097534635492008,-0.017421586867605088,True,True
2025-01-06,0.4157,DOWN,0.0168,0.6042,UP,0.0372,DOWN,0.417,0.9466,False,0.0041,0.450051803350909,0.5892841974174422,False,False,-0.03833786907739689,-0.02448675289486746,-0.08819443614855216,-0.03563617371411887,0.04474272854281902,0.012080557188156815,False,False
2025-01-07,0.4665,DOWN,0.0001,0.5292,UP,0.0006,DOWN,0.4788,0.9982,False,0.0,0.500516179145421,0.5047143993486567,False,False,-0.04305277913768135,-0.03938350309856442,-0.08462966998943655,-0.039755884067560476,0.046459209882767416,0.016689257463243568,False,False
2025-01-08,0.4862,DOWN,0.0002,0.4265,DOWN,0.0238,UP,0.5244,0.8274,True,0.0003,0.4969192368782904,0.4189225912271364,False,False,-0.036006951975321555,-0.036503629901739054,-0.07971010636792797,-0.0378419405007544,0.04190818195578494,0.013374910074848367,False,False
2025-01-09,0.4706,DOWN,0.0051,0.4211,DOWN,0.0204,UP,0.509,0.7836,True,0.0001,0.4564898401875382,0.4355036521229042,False,False,-0.005023863273892926,-0.010550143538403112,-0.015113936820479235,0.020083311744353072,0.007026782792951325,-0.01405356558590276,False,False
2025-01-10,0.5736,UP,0.0112,0.4688,DOWN,0.0034,UP,0.5409,0.8992,False,0.0004,0.5380042274742823,0.5273865412015613,False,False,-0.013567823860513473,-0.006783950268922756,-0.003953266622504725,0.03433207492015633,0.0,-0.01971949437373932,False,False
2025-01-13,0.7068,UP,0.1397,0.3666,DOWN,0.0594,UP,0.6663,0.8642,False,0.0311,0.6689132822997828,0.3887323733280352,False,False,0.02006177611996307,0.014917743036646725,0.06615752558791699,0.08078611621990928,-0.03211991382215096,-0.04282655176286798,True,True
2025-01-14,0.7133,UP,0.1463,0.3512,DOWN,0.0676,UP,0.6738,0.8756,False,0.0345,0.6714336779987453,0.3864376037461702,False,False,0.015848623456003352,0.004856834962159606,0.05203186237360069,0.05740721694129869,-0.028017306228594774,-0.03318967381215343,True,True
2025-01-15,0.4178,DOWN,0.0414,0.3357,DOWN,0.1008,UP,0.5057,0.484,True,0.0004,0.3741979057922819,0.3466257544113057,False,False,0.037094264409256894,0.019835088736026796,0.09755059331427307,0.09558164402905778,-0.04706890637432304,-0.04749681516862003,True,True
2025-01-16,0.726,UP,0.1593,0.3936,DOWN,0.0441,UP,0.6673,0.7936,False,0.0319,0.6762577371705083,0.3965148244206938,False,False,-0.027013410861283726,-0.009341106160105195,-0.035105706480102916,0.03825975719384411,0.013519383419825282,-0.023113854321487937,False,False
2025-01-17,0.6938,UP,0.1192,0.5199,UP,0.0027,UP,0.5979,0.5906,True,0.0056,0.6538004706575523,0.5342372702364601,False,False,-0.012480880846426734,-0.013499791717143883,-0.03634894177656367,0.006893649958121584,0.014460995973672341,-0.007449609052032624,False,False
2025-01-20,0.5405,UP,0.0003,0.5081,UP,0.0002,UP,0.5148,0.9388,True,0.0,0.5019523051080681,0.4951791776365539,False,False,-0.0075642964040121274,-0.01815434214882994,-0.01843167884540209,-0.004096310562006988,0.004867199165762948,-0.0017699519846088307,False,False
2025-01-21,0.5262,UP,0.0012,0.5412,UP,0.002,UP,0.5003,0.8958,True,0.0,0.5114741610763452,0.5120680375496507,False,False,-0.005284363703494721,-0.031202803439685844,-0.015327636045955328,-0.02534158296840905,0.004434606867098179,0.009756152024233966,False,False
2025-01-22,0.585,UP,0.0248,0.5122,UP,0.0005,UP,0.5467,0.8296,True,0.0006,0.5729315206079391,0.4900745253657707,False,False,-0.013661201978685145,-0.0658221549882102,-0.02391412929524739,-0.08549214674002348,0.009878729628754801,0.04265823242314459,False,False
2025-02-03,0.5015,UP,0.0003,0.2937,DOWN,0.1794,UP,0.5762,0.5532,True,0.007,0.4594896264610605,0.2826180710880074,False,False,0.018681920916078454,-0.030617509029172818,0.04923684625283253,-0.011111155805208606,-0.02452666525120173,0.00516354735005331,True,False
2025-02-04,0.6646,UP,0.0675,0.326,DOWN,0.101,UP,0.6513,0.958,False,0.0233,0.6025877083453599,0.3548255034410686,False,False,0.018828959409654455,-0.023729718641634867,0.052460461378295076,0.00845473610673353,-0.025485968134341896,-0.002591769629851637,True,False
2025-02-05,0.6143,UP,0.026,0.4901,DOWN,0.0004,UP,0.5604,0.8312,False,0.0013,0.5567532015897263,0.4903549401328029,False,False,0.00203248927988664,-0.044207300880753087,0.010640651418927227,-0.04172704913806091,-0.00396293478060028,0.021576472841067673,True,False
2025-02-06,0.6295,UP,0.0533,0.5312,UP,0.001,UP,0.5629,0.7136,True,0.0016,0.6029096487752172,0.5076683984989458,False,False,-0.006577221518405896,-0.057171708281898104,0.012661224307077168,-0.06434244764393227,-0.004856454960508572,0.03487862820452481,False,False
2025-02-07,0.5374,UP,0.0007,0.5728,UP,0.0098,DOWN,0.4899,0.8366,True,0.0,0.4951098882853076,0.5335496744393696,False,False,-0.022916157047712216,-0.06698566027365294,-0.024091289664931237,-0.08636229639104842,0.010671399446894325,0.0462428157452861,False,False
2025-02-10,0.5774,UP,0.0058,0.5137,UP,0.001,UP,0.533,0.8812,True,0.0001,0.5186149962000843,0.4820660511469712,False,False,0.003311227133873107,-0.07284769653308343,0.023048868637611353,-0.1050664556035582,-0.00970442490578316,0.05646231505680532,True,False
2025-02-11,0.7375,UP,0.2057,0.4816,DOWN,0.0061,UP,0.6544,0.6212,False,0.0329,0.7164970916214717,0.4176184921478248,False,False,0.0007594627670095555,-0.07443036429489713,0.02389326194922381,-0.10257481321221407,-0.008421925142144349,0.05762416556665806,True,False
2025-02-12,0.768,UP,0.2447,0.5012,UP,0.0002,UP,0.6596,0.5274,False,0.0376,0.7282849440116823,0.4469036252248026,False,False,0.0005071303502193203,-0.08164295686552281,0.021882786601510107,-0.11663906759848608,-0.011936359316811695,0.06277630519937993,True,False
2025-02-13,0.7352,UP,0.1691,0.4655,DOWN,0.0104,UP,0.649,0.6662,False,0.0253,0.6797008850924953,0.4243444638975067,False,False,0.0010185736797825307,-0.08072322694586276,0.007992839599142876,-0.12359139479028713,-0.004880239835118427,0.06654835577077023,True,False
2025-02-14,0.846,UP,0.4672,0.3708,DOWN,0.0881,UP,0.7632,0.6012,False,0.1477,0.8375455148638781,0.3295520593883445,False,False,0.02036080901155768,-0.0615979224136195,0.047907570585124626,-0.09079554384764865,-0.02067748890540677,0.04927412502372652,True,False
2025-02-17,0.6744,UP,0.0918,0.4565,DOWN,0.0158,UP,0.6197,0.8014,False,0.0127,0.6316285530983647,0.4089855592458141,False,False,-0.003808073174010218,-0.07184561622614771,0.0024353433169777006,-0.11081804284926733,-0.002227222392425121,0.05612464493155889,False,False
2025-02-18,0.6565,UP,0.0748,0.4713,DOWN,0.0088,UP,0.6044,0.8038,False,0.0086,0.6194711353508604,0.4231535810627088,False,False,-0.020237794705396883,-0.08651652604493565,-0.030376070492884488,-0.13538564755971982,0.01251670848423947,0.07197132957542185,False,False
