date,prob_up_h1,prob_up_h5,prob_up_h20,ensemble_prob_up,direction,prob_magnitude,ensemble_weight_h1,ensemble_weight_h5,ensemble_weight_h20,horizon_ensemble_method,h20_prob_up,h20_direction,prob_fwd_mdd_gt5_h20,actual_fwd_mdd_gt5_h20,forward_mdd_h20,prob_fwd_mdd_gt8_h20,actual_fwd_mdd_gt8_h20,forward_mdd_gt8_h20,prob_fwd_gain_gt5_h20,actual_fwd_gain_gt5_h20,forward_gain_h20,tail_reward_risk_score_h20,confidence,is_live
2025-01-02,0.6168287069475031,0.5897720067478494,0.7314498155194458,0.6460168430715993,UP,0.2920336861431987,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7314498155194458,UP,0.15755531507921908,0.0,0.0,0.05187783689977992,0.0,0.0,0.45558196503608406,1.0,0.06572776224889876,0.298026649956865,0.2920336861431987,False
2025-01-03,0.9460243277724696,0.8170606157309822,0.7399341504082876,0.8343396979705797,UP,0.6686793959411594,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7399341504082876,UP,0.16344075916162923,0.0,-0.009302515111986875,0.05592155415550886,0.0,-0.009302515111986875,0.4167514262095551,1.0,0.05581381363531457,0.2533106670479258,0.6686793959411594,False
2025-01-06,0.9109775839969951,0.7162568138866048,0.751786233521998,0.7930068771351992,UP,0.5860137542703985,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.751786233521998,UP,0.1198432993187846,1.0,-0.05333332150031833,0.0577247827622878,0.0,-0.05333332150031833,0.2681521138565731,0.0,0.008888960873063567,0.14830881453778852,0.5860137542703985,False
2025-01-07,0.33831483514743427,0.4268608351297825,0.7225786393486434,0.49591810320862006,DOWN,0.00816379358275987,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7225786393486434,UP,0.1416251533333863,1.0,-0.0575222499754815,0.06234622133734606,0.0,-0.0575222499754815,0.24172445206643603,0.0,0.004424703503007166,0.10009929873304974,0.00816379358275987,False
2025-01-08,0.4594525341350015,0.495464372654689,0.7568008688442083,0.5705725918779662,UP,0.14114518375593232,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7568008688442083,UP,0.15080524778859938,0.0,-0.04072396963521763,0.05468443957026417,0.0,-0.04072396963521763,0.31007750026804426,0.0,0.02714931309014501,0.15927225247944488,0.14114518375593232,False
2025-01-09,0.4382327132109643,0.435388549330985,0.6662131962601552,0.5132781529340348,UP,0.026556305868069563,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6662131962601552,UP,0.19863326604577916,0.0,-0.036363698248583765,0.06131183788096557,0.0,-0.036363698248583765,0.2787286029383865,0.0,0.03181809414783965,0.08009533689260737,0.026556305868069563,False
2025-01-10,0.5002127232418176,0.4150804735270195,0.6400469084497499,0.5184467017395289,UP,0.036893403479057785,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6400469084497499,UP,0.23054864574690304,0.0,-0.036363698248583765,0.059591048039715135,0.0,-0.036363698248583765,0.2857771249519949,0.0,0.03181809414783965,0.055228479205091885,0.036893403479057785,False
2025-01-13,0.4762816093870936,0.525496648556758,0.7387527490855001,0.5801770023431172,UP,0.1603540046862344,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7387527490855001,UP,0.30435356569313227,0.0,-0.01395359852662481,0.09215864443919604,0.0,-0.01395359852662481,0.43231581718142903,1.0,0.05581381363531457,0.12796225148829676,0.1603540046862344,False
2025-01-14,0.37754890716636946,0.5515310074004347,0.6669325271350335,0.5320041472339458,UP,0.06400829446789169,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6669325271350335,UP,0.271186486276097,0.0,-0.027522927376394613,0.09958225218648303,0.0,-0.027522927376394613,0.34251910447645384,0.0,0.04128439106459192,0.07133261820035686,0.06400829446789169,False
2025-01-15,0.8307369657927937,0.9605085554200707,0.7516897864729264,0.8476451025619303,UP,0.6952902051238605,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7516897864729264,UP,0.2460177132832637,0.0,-0.004694756457531257,0.07644151582055268,0.0,-0.004694756457531257,0.506698106294245,1.0,0.06572776224889876,0.26068039301098134,0.6952902051238605,False
2025-01-16,0.7518245858730599,0.8074597743182242,0.6123345480288985,0.7238729694067275,UP,0.44774593881345504,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6123345480288985,UP,0.25065953560159543,0.0,-0.04072396963521763,0.08402446181662063,0.0,-0.04072396963521763,0.23800232364715898,0.0,0.02714931309014501,-0.012657211954436448,0.44774593881345504,False
2025-01-17,0.6094498167124868,0.5400311704082187,0.6467699501621212,0.5987503124276088,UP,0.19750062485521758,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6467699501621212,UP,0.3098673720468874,1.0,-0.05803573418388408,0.08058322735584766,0.0,-0.05803573418388408,0.23407923428877653,0.0,0.01339285316322325,-0.07578813775811089,0.19750062485521758,False
2025-01-20,0.36013811123554995,0.4461295463677479,0.4559809534666393,0.42074953702331236,DOWN,0.15850092595337528,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.4559809534666393,DOWN,0.49554494915325886,1.0,-0.05803573418388408,0.07077039956903325,0.0,-0.05803573418388408,0.18957431409307784,0.0,0.01339285316322325,-0.305970635060181,0.15850092595337528,False
2025-01-21,0.7141456330579699,0.499886283276912,0.512356886819036,0.5754629343846392,UP,0.1509258687692785,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.512356886819036,UP,0.44018019126498653,1.0,-0.07142842020248119,0.08220165726473327,0.0,-0.07142842020248119,0.22555963660306463,0.0,0.01339285316322325,-0.2146205546619219,0.1509258687692785,False
2025-01-22,0.7525453803454475,0.5731469363359241,0.5648040643442196,0.6301654603418637,UP,0.26033092068372743,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.5648040643442196,UP,0.517149009047531,1.0,-0.10132151954130286,0.07800938856760485,1.0,-0.10132151954130286,0.19851368996533203,0.0,-0.008810643408538543,-0.318635319082199,0.26033092068372743,False
2025-02-03,0.47309955338363974,0.49962332631703976,0.6031184069557514,0.5252804288854769,UP,0.05056085777095376,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6031184069557514,UP,0.5118778302058915,1.0,-0.0654205040643826,0.36380611704747146,0.0,-0.0654205040643826,0.42389594458684615,1.0,0.0514018162908183,-0.08798188561904535,0.05056085777095376,False
2025-02-04,0.5417055148526223,0.46788986254776765,0.6649466180882448,0.5581806651628782,UP,0.11636133032575646,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6649466180882448,UP,0.6448672791677956,1.0,-0.08675799919443317,0.2845114541622507,1.0,-0.08675799919443317,0.32222675981132765,0.0,0.02739713693245882,-0.322640519356468,0.11636133032575646,False
2025-02-05,0.8180891606089793,0.5456456460508595,0.6642966691440504,0.6760104919346297,UP,0.3520209838692594,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6642966691440504,UP,0.6449817959166327,1.0,-0.09909910315076098,0.4015661580328075,1.0,-0.09909910315076098,0.25121632308742525,0.0,0.013513396521776189,-0.3937654728292075,0.3520209838692594,False
2025-02-06,0.5232898786585416,0.4409891391390355,0.6135933017074284,0.5259574398350018,UP,0.05191487967000352,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6135933017074284,UP,0.6186152133331141,1.0,-0.1031389492064203,0.2118497822960145,1.0,-0.1031389492064203,0.15032133664995365,0.0,0.008968570213337523,-0.46829387668316047,0.05191487967000352,False
2025-02-07,0.12524889298656594,0.23874236322345022,0.6109945833557205,0.32499527985524557,DOWN,0.35000944028950887,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6109945833557205,UP,0.6497120720732281,1.0,-0.11288884905107166,0.3348261013779972,1.0,-0.11288884905107166,0.14854580053767538,0.0,-0.01333321944056387,-0.5011662715355527,0.35000944028950887,False
2025-02-10,0.41141594983802654,0.4224570933711372,0.6291393744042703,0.4876708058711446,DOWN,0.024658388257710828,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6291393744042703,UP,0.6322985112518429,1.0,-0.12126695815586797,0.19031255539727876,1.0,-0.12126695815586797,0.35024174097846394,0.0,0.00452492316248132,-0.28205677027337894,0.024658388257710828,False
2025-02-11,0.61221023392826,0.3393062160154995,0.5909010176736226,0.5141391558724606,UP,0.028278311744921236,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.5909010176736226,UP,0.6389895028687038,1.0,-0.12522524669903334,0.24689576154892556,1.0,-0.12522524669903334,0.1737896099567396,0.0,-0.009008968492389968,-0.46519989291196423,0.028278311744921236,False
2025-02-12,0.32659120805170727,0.37123723536435244,0.651831140415927,0.4498865279439956,DOWN,0.10022694411200883,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.651831140415927,UP,0.6296323383249444,1.0,-0.12272733976929906,0.11349017235586645,1.0,-0.12272733976929906,0.2527947586862455,0.0,0.0,-0.37683757963869885,0.10022694411200883,False
2025-02-13,0.40864376838012906,0.4562018596969416,0.7014613632254566,0.5221023304341758,UP,0.04420466086835151,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7014613632254566,UP,0.6591387478643111,1.0,-0.12018349915879334,0.298824084545627,1.0,-0.12018349915879334,0.2005714304977375,0.0,0.009174385456547363,-0.45856731736657363,0.04420466086835151,False
2025-02-14,0.7553396410163705,0.7552369972468115,0.7535767916335588,0.7547178099655802,UP,0.5094356199311605,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7535767916335588,UP,0.4635524336065885,1.0,-0.09528303997174314,0.17334098862354572,1.0,-0.09528303997174314,0.40628256680374103,0.0,0.03773591570024126,-0.05726986680284746,0.5094356199311605,False
2025-02-17,0.4985066255136602,0.5421666313765694,0.6687125213359959,0.5697952594087419,UP,0.13959051881748374,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6687125213359959,UP,0.6292101492603026,1.0,-0.11612911425922257,0.3242918006444674,1.0,-0.11612911425922257,0.2314175600615221,0.0,0.013824879491970199,-0.3977925891987805,0.13959051881748374,False
2025-02-18,0.33697398787498806,0.3668057457090236,0.7172681031076348,0.47368261223054875,DOWN,0.0526347755389025,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7172681031076348,UP,0.6432259082202526,1.0,-0.1305118215205111,0.22591041714881044,1.0,-0.1305118215205111,0.23854291495493715,0.0,-0.0045454906450072,-0.4046829932653154,0.0526347755389025,False
2025-02-19,0.4078497815594001,0.41284528885182836,0.7204664331585326,0.5137205011899203,UP,0.027441002379840596,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7204664331585326,UP,0.6445126093956128,1.0,-0.12253480182122911,0.27924699469727526,1.0,-0.12253480182122911,0.24302635310334048,0.0,0.004587192728273681,-0.40148625629227236,0.027441002379840596,False
2025-02-20,0.4344058986300249,0.44793210223599933,0.7397545124015423,0.5406975044225222,UP,0.08139500884504436,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7397545124015423,UP,0.6019075965423666,1.0,-0.11441026301180668,0.22647985832473094,1.0,-0.11441026301180668,0.2972855323421579,0.0,0.013888766912309558,-0.3046220642002087,0.08139500884504436,False
