date,prob_up_h1,prob_up_h5,prob_up_h20,ensemble_prob_up,direction,prob_magnitude,ensemble_weight_h1,ensemble_weight_h5,ensemble_weight_h20,horizon_ensemble_method,h20_prob_up,h20_direction,actual_up_h1,actual_up_h5,actual_up_h20,prob_fwd_mdd_gt5_h20,actual_fwd_mdd_gt5_h20,forward_mdd_h20,prob_fwd_gain_gt5_h20,actual_fwd_gain_gt5_h20,forward_gain_h20,tail_reward_risk_score_h20,confidence,is_live
2025-01-02,0.4390147645760602,0.4043757500060911,0.7957559048073453,0.5463821397964987,UP,0.0927642795929974,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7957559048073453,UP,1.0,1.0,1.0,0.094089493972707,0.0,-0.0069570011970344,0.2422245802498663,1.0,0.0533367208552217,0.1481350862771593,0.0927642795929974,False
2025-01-03,0.3956542783628601,0.4321952668433219,0.6824084424813976,0.5034193292291931,UP,0.0068386584583861,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6824084424813976,UP,1.0,1.0,1.0,0.0854430851304379,0.0,-0.0168367502640705,0.2237573196087346,0.0,0.0428571117167571,0.1383142344782967,0.0068386584583861,False
2025-01-06,0.6350194299634393,0.3284608032641984,0.7653280172765466,0.5762694168347281,UP,0.1525388336694562,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7653280172765466,UP,1.0,0.0,0.0,0.0887445542446618,0.0,-0.0467474510688399,0.2715821560204768,0.0,0.0111303490869862,0.1828376017758149,0.1525388336694562,False
2025-01-07,0.6411074300288981,0.3242641992498491,0.647220507512783,0.5375307122638434,UP,0.0750614245276868,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.647220507512783,UP,0.0,0.0,0.0,0.0693974060524156,1.0,-0.0572406912799003,0.2635779825863181,0.0,-0.0149216628377855,0.1941805765339024,0.0750614245276868,False
2025-01-08,0.5203336902601237,0.4353008593614395,0.7923240537691322,0.5826528677968984,UP,0.1653057355937968,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7923240537691322,UP,0.0,0.0,0.0,0.055198791041475,0.0,-0.0429600640331065,0.2656070893981296,0.0,-0.0002483389632087,0.2104082983566546,0.1653057355937968,False
2025-01-09,0.6665194963863544,0.5985012353116946,0.7589037301638744,0.6746414872873078,UP,0.3492829745746155,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7589037301638744,UP,0.0,0.0,0.0,0.0790276542705939,0.0,-0.031901562452448,0.2561350705967039,0.0,0.011303692366259,0.17710741632611,0.3492829745746155,False
2025-01-10,0.622085238460573,0.410531180167186,0.7044243872895624,0.5790136019724403,UP,0.1580272039448806,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7044243872895624,UP,0.0,0.0,0.0,0.0855610152920391,0.0,-0.0316583067927528,0.2614718264087181,0.0,0.01155780428019,0.1759108111166789,0.1580272039448806,False
2025-01-13,0.5894489007372183,0.4310542765042138,0.7983455601563811,0.6062829124659377,UP,0.2125658249318753,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7983455601563811,UP,1.0,1.0,1.0,0.0921416169947362,0.0,-0.0087448405432944,0.3153592200489249,0.0,0.0354938753699118,0.2232176030541887,0.2125658249318753,False
2025-01-14,0.5045588500050855,0.4217110914265762,0.7170780725683567,0.5477826713333395,UP,0.0955653426666789,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7170780725683567,UP,0.0,1.0,1.0,0.09350338748171,0.0,-0.0148262222125836,0.2618604858226306,0.0,0.0291410877831241,0.1683570983409206,0.0955653426666789,False
2025-01-15,0.6438659707028791,0.6050427674516181,0.6478762185764444,0.6322616522436472,UP,0.2645233044872943,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6478762185764444,UP,1.0,1.0,1.0,0.0891798923914159,0.0,-0.0072128238601228,0.2633242453431149,0.0,0.0370942644092568,0.1741443529516989,0.2645233044872943,False
2025-01-16,0.4845078766804678,0.5676651789392557,0.6339776052639445,0.562050220294556,UP,0.1241004405891119,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6339776052639445,UP,0.0,0.0,0.0,0.0973890247201332,0.0,-0.0270134108612837,0.2315939501198521,0.0,0.0164099972225229,0.1342049253997189,0.1241004405891119,False
2025-01-17,0.450434293591136,0.5460511781306588,0.6722462684011105,0.5562439133743018,UP,0.1124878267486035,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.6722462684011105,UP,1.0,0.0,0.0,0.1197588667307098,0.0,-0.018339307425107,0.2329904466177633,0.0,0.025471217128212,0.1132315798870535,0.1124878267486035,False
