date,prob_up_h1,prob_up_h5,prob_up_h20,ensemble_prob_up,direction,prob_magnitude,ensemble_weight_h1,ensemble_weight_h5,ensemble_weight_h20,horizon_ensemble_method,h20_prob_up,h20_direction,actual_up_h1,actual_up_h5,actual_up_h20,prob_fwd_mdd_gt5_h20,actual_fwd_mdd_gt5_h20,forward_mdd_h20,prob_fwd_gain_gt5_h20,actual_fwd_gain_gt5_h20,forward_gain_h20,tail_reward_risk_score_h20,confidence,is_live
2025-01-02,0.4593063132496738,0.3807134540083879,0.9051262459495908,0.5817153377358841,UP,0.1634306754717682,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.9051262459495908,UP,1.0,1.0,1.0,0.2877043532012595,0.0,-0.0249521096540816,0.7355927391600241,1.0,0.0835999973511085,0.4478883859587646,0.1634306754717682,False
2025-01-03,0.2899484805953565,0.316679396822699,0.8793324778092683,0.4953201184091079,DOWN,0.0093597631817841,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.8793324778092683,UP,1.0,1.0,1.0,0.3832024138945719,0.0,-0.0398993519382153,0.6992673546358589,1.0,0.0669886781945208,0.3160649407412869,0.0093597631817841,False
2025-01-06,0.6390142020754818,0.3040829766305256,0.4070582313467198,0.450051803350909,DOWN,0.099896393298182,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.4070582313467198,DOWN,1.0,0.0,0.0,0.6120801145221247,1.0,-0.0897869411581804,0.5190453630257829,0.0,0.0115471023685076,-0.0930347514963418,0.099896393298182,False
2025-01-07,0.6957941259670807,0.3376971396283786,0.4680572718408038,0.500516179145421,UP,0.001032358290842,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.4680572718408038,DOWN,0.0,0.0,0.0,0.5702372773558557,1.0,-0.1001772861485317,0.5214453041582167,0.0,-0.0123990465346615,-0.048791973197639,0.001032358290842,False
2025-01-08,0.5749372324703845,0.4093751832646917,0.5064452948997951,0.4969192368782904,DOWN,0.0061615262434191,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.5064452948997951,UP,0.0,0.0,0.0,0.4900086225699603,1.0,-0.0797101063679279,0.543818702369884,0.0,0.0100647187770099,0.0538100797999236,0.0061615262434191,False
2025-01-09,0.4195287233514691,0.4259914068604889,0.5239493903506566,0.4564898401875382,DOWN,0.0870203196249236,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.5239493903506566,UP,0.0,0.0,1.0,0.4951814319533336,1.0,-0.0534158284321569,0.6187339789764179,0.0,0.0389240191261857,0.1235525470230843,0.0870203196249236,False
2025-01-10,0.4695565210168934,0.4066232882007051,0.7378328732052486,0.5380042274742823,UP,0.0760084549485646,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.7378328732052486,UP,0.0,0.0,1.0,0.5517622119016429,0.0,-0.0486893181038534,0.628147817708139,0.0,0.0441116033413213,0.0763856058064961,0.0760084549485646,False
2025-01-13,0.6367546114458129,0.4387608221281019,0.9312244133254336,0.6689132822997828,UP,0.3378265645995655,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.9312244133254336,UP,1.0,1.0,1.0,0.287717326252642,0.0,-0.0017465401317596,0.7069912658593562,1.0,0.0956336771564132,0.4192739396067141,0.3378265645995655,False
2025-01-14,0.5980368944319392,0.5010105563188795,0.9152535832454176,0.6714336779987453,UP,0.3428673559974906,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.9152535832454176,UP,0.0,1.0,1.0,0.2782862089849139,0.0,-0.0169850558286238,0.6774536988757289,1.0,0.0789086352120911,0.3991674898908149,0.3428673559974906,False
2025-01-15,0.2134681073380265,0.3840949643897869,0.5250306456490322,0.3741979057922819,DOWN,0.2516041884154362,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.5250306456490322,UP,1.0,1.0,1.0,0.2488108463378896,0.0,0.0039370725533902,0.6942674829897652,1.0,0.097550593314273,0.4454566366518755,0.2516041884154362,False
2025-01-16,0.5352852712791982,0.593216145697029,0.9002717945352977,0.6762577371705083,UP,0.3525154743410166,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.9002717945352977,UP,1.0,0.0,1.0,0.290917882744386,0.0,-0.0351057064801029,0.6784467824732618,1.0,0.0548672155764025,0.3875288997288758,0.3525154743410166,False
2025-01-17,0.5907717792916558,0.4756285308798162,0.8950011018011851,0.6538004706575523,UP,0.3076009413151046,0.3333333333333333,0.3333333333333333,0.3333333333333333,expanding_prior_auc_min60,0.8950011018011851,UP,1.0,0.0,1.0,0.3281644366399868,0.0,-0.0411533625203639,0.6757295870165375,0.0,0.0482556373643663,0.3475651503765507,0.3076009413151046,False
